model;AIC;BIC;AICc;RMSE
ARIMA(0,2,0)(0,1,1)_12;670.0515487;673.7088315;670.3306185;241.7485376
ARIMA(1,2,0)(0,1,1)_12;670.3433829;675.8293071;670.9148114;236.2771784
ARIMA(0,2,1)(0,1,1)_12;670.4161496;675.9020738;670.9875782;236.6906869
ARIMA(2,2,0)(0,1,1)_12;672.2734003;679.5879659;673.24901;236.549113
ARIMA(1,2,1)(0,1,1)_12;672.3096404;679.6242059;673.2852501;237.8569143
ARIMA(0,2,2)(0,1,1)_12;672.413561;679.7281266;673.3891708;236.5714738
ARIMA(1,2,0)(1,1,1)_12;672.7026894;680.017255;673.6782991;250.0144858
ARIMA(0,2,1)(1,1,1)_12;672.7847813;680.0993469;673.7603911;251.0460572
ARIMA(0,2,0)(1,1,1)_12;672.7872228;678.273147;673.3586514;261.9792857
ARIMA(0,2,0)(1,1,0)_12;673.1279267;676.7852095;673.4069965;274.047425
ARIMA(0,2,1)(1,1,0)_12;674.1181118;679.604036;674.6895404;271.7847587
ARIMA(1,2,2)(0,1,1)_12;674.1384802;683.2816872;675.6384802;236.6196904
ARIMA(1,2,0)(1,1,0)_12;674.1695229;679.6554471;674.7409515;272.0615827
ARIMA(2,2,0)(1,1,1)_12;674.6251626;683.7683696;676.1251626;249.2394117
ARIMA(0,2,2)(1,1,1)_12;674.8691718;684.0123787;676.3691718;252.3835472
ARIMA(1,2,1)(1,1,1)_12;674.9975114;684.1407184;676.4975114;255.8795084
ARIMA(2,2,2)(0,1,1)_12;675.4307691;686.4026175;677.5846153;237.6909533
ARIMA(1,2,1)(1,1,0)_12;675.6209647;682.9355303;676.5965745;270.0658797
ARIMA(0,2,2)(1,1,0)_12;676.0240654;683.3386309;676.9996751;271.2753821
ARIMA(2,2,0)(1,1,0)_12;676.1693331;683.4838987;677.1449428;272.0421102
ARIMA(2,2,1)(1,1,1)_12;676.2566103;687.2284587;678.4104565;247.9558763
ARIMA(1,2,2)(1,1,1)_12;676.6497739;687.6216223;678.80362;252.7132698
ARIMA(2,2,1)(1,1,0)_12;677.6045011;686.7477081;679.1045011;270.1014099
ARIMA(1,2,2)(1,1,0)_12;677.6106265;686.7538335;679.1106265;270.0732501
ARIMA(2,2,2)(1,1,1)_12;677.7689238;690.5694135;680.7162922;247.3965988
ARIMA(2,2,2)(1,1,0)_12;679.2579967;690.2298451;681.4118428;270.1002144
ARIMA(1,1,0)(0,1,1)_12;679.4714395;685.0218823;680.029579;223.3663377
ARIMA(2,1,0)(0,1,1)_12;679.9970435;687.3976339;680.9494244;220.7911318
ARIMA(1,1,1)(0,1,1)_12;680.0877488;687.4883392;681.0401297;221.1505549
ARIMA(1,1,0)(1,1,1)_12;681.426832;688.8274224;682.3792129;222.5151114
ARIMA(2,1,0)(1,1,1)_12;681.9694014;691.2201394;683.432816;219.4724241
ARIMA(1,1,1)(1,1,1)_12;682.0468924;691.2976304;683.510307;219.4744065
ARIMA(1,1,2)(0,1,1)_12;682.0839909;691.3347289;683.5474055;221.0227378
ARIMA(2,1,1)(0,1,1)_12;682.0906741;691.3414121;683.5540888;221.207631
ARIMA(1,1,0)(1,1,0)_12;682.1223304;687.6727732;682.6804699;268.7400775
ARIMA(2,1,2)(0,1,1)_12;683.454925;694.5558106;685.554925;219.2203571
ARIMA(2,1,1)(1,1,1)_12;683.4817555;694.5826411;685.5817555;219.8990708
ARIMA(2,1,0)(1,1,0)_12;683.5640225;690.9646129;684.5164035;267.8320919
ARIMA(1,1,1)(1,1,0)_12;683.5791326;690.979723;684.5315135;267.7784962
ARIMA(1,1,2)(1,1,1)_12;684.0450071;695.1458928;686.1450071;219.4558484
ARIMA(1,2,1)(0,1,0)_12;684.6142789;690.1002031;685.1857075;317.6856842
ARIMA(1,2,0)(0,1,0)_12;684.8415511;688.4988339;685.1206209;325.7779998
ARIMA(2,1,1)(1,1,0)_12;685.2076336;694.4583716;686.6710482;267.8254956
ARIMA(0,2,1)(0,1,0)_12;685.2496231;688.9069059;685.5286929;327.2506797
ARIMA(1,2,2)(0,1,0)_12;685.3097198;692.6242854;686.2853296;312.5252309
ARIMA(2,1,2)(1,1,1)_12;685.4345476;698.3855808;688.3063424;220.0837941
ARIMA(1,1,2)(1,1,0)_12;685.578231;694.828969;687.0416457;267.7589869
ARIMA(0,2,0)(0,1,0)_12;685.8223496;687.650991;685.9132587;336.7456216
ARIMA(2,2,0)(0,1,0)_12;686.0231404;691.5090646;686.594569;322.7697962
ARIMA(2,2,1)(0,1,0)_12;686.270832;693.5853975;687.2464417;316.3819323
ARIMA(2,1,2)(1,1,0)_12;687.0682829;698.1691685;689.1682829;268.1656776
ARIMA(0,2,2)(0,1,0)_12;687.2363913;692.7223155;687.8078199;327.227115
ARIMA(2,2,2)(0,1,0)_12;687.856294;696.999501;689.356294;314.7942154
ARIMA(2,1,2)(0,1,0)_12;692.016687;701.267425;693.4801016;297.6544893
ARIMA(1,1,0)(0,1,0)_12;693.367436;697.0677312;693.6401633;324.4571798
ARIMA(2,1,1)(0,1,0)_12;693.5482321;700.9488226;694.5006131;310.827298
ARIMA(2,1,0)(0,1,0)_12;693.9748447;699.5252875;694.5329842;319.453886
ARIMA(1,1,2)(0,1,0)_12;694.2347171;701.6353076;695.1870981;312.8965168
ARIMA(1,1,1)(0,1,0)_12;694.3956654;699.9461082;694.9538049;320.9757083
ARIMA(0,1,2)(0,1,0)_12;696.4355329;701.9859757;696.9936725;327.163836
ARIMA(0,1,2)(0,1,1)_12;696.8552079;704.2557983;697.8075889;319.1997236
ARIMA(0,1,2)(1,1,0)_12;696.8943678;704.2949582;697.8467487;319.5933006
ARIMA(0,1,2)(1,1,1)_12;698.5969404;707.8476784;700.060355;297.8014938
ARIMA(2,0,0)(1,1,1)_12;703.9170624;713.2730674;705.3456338;235.8949247
ARIMA(2,0,1)(1,1,1)_12;704.2650705;715.4922766;706.313851;219.7711308
ARIMA(2,0,0)(1,1,0)_12;704.5126274;711.9974314;705.44286;269.343901
ARIMA(2,0,1)(1,1,0)_12;705.6243537;714.9803588;707.0529251;267.5785493
ARIMA(2,0,2)(1,1,0)_12;707.485862;718.713068;709.5346425;267.012455
ARIMA(0,1,1)(0,1,0)_12;715.2831594;718.9834546;715.5558867;412.7192597
ARIMA(2,0,2)(1,1,1)_12;715.4090764;728.5074835;718.2090764;278.2333816
ARIMA(2,0,0)(0,1,0)_12;715.7252263;721.3388293;716.2706808;325.2053076
ARIMA(2,0,1)(0,1,0)_12;716.2908781;723.7756821;717.2211106;319.9744029
ARIMA(0,1,1)(1,1,0)_12;716.7137822;722.264225;717.2719217;408.975805
ARIMA(0,1,1)(0,1,1)_12;716.8422247;722.3926675;717.4003642;410.0037547
ARIMA(0,1,0)(0,1,0)_12;733.0730198;734.9231674;733.1619086;510.9909674
ARIMA(0,1,0)(1,1,0)_12;733.6440534;737.3443486;733.9167807;501.1981932
ARIMA(0,1,0)(0,1,1)_12;733.7750861;737.4753813;734.0478134;502.2269987
ARIMA(0,1,0)(1,1,1)_12;735.6121713;741.1626141;736.1703109;500.9360279
ARIMA(0,2,1)(0,0,0)_12;812.7354516;816.8563376;812.9536334;253.4578082
ARIMA(1,2,0)(0,0,0)_12;813.2785678;817.3994538;813.4967496;254.6953952
ARIMA(0,2,1)(1,0,0)_12;814.6098758;820.7912048;815.0543202;253.1325508
ARIMA(0,2,1)(0,0,1)_12;814.6197155;820.8010446;815.06416;253.1619518
ARIMA(1,2,1)(0,0,0)_12;814.6560163;820.8373454;815.1004608;253.2695164
ARIMA(0,2,2)(0,0,0)_12;814.677805;820.859134;815.1222494;253.3228808
ARIMA(2,2,0)(0,0,0)_12;814.8460273;821.0273564;815.2904718;253.7151327
ARIMA(1,2,0)(1,0,0)_12;815.0419343;821.2232633;815.4863788;254.0695297
ARIMA(1,2,0)(0,0,1)_12;815.0631816;821.2445107;815.5076261;254.1340919
ARIMA(0,2,0)(0,0,0)_12;815.3326448;817.3930878;815.4040734;263.9102532
ARIMA(2,2,1)(0,0,0)_12;816.5008026;824.7425747;817.2555196;252.9016043
ARIMA(1,2,2)(0,0,0)_12;816.5142285;824.7560006;817.2689455;252.9355757
ARIMA(1,2,1)(1,0,0)_12;816.5180618;824.7598339;817.2727788;252.9058906
ARIMA(1,2,1)(0,0,1)_12;816.5300145;824.7717866;817.2847315;252.9420604
ARIMA(0,2,2)(1,0,0)_12;816.5561836;824.7979556;817.3109006;253.0076744
ARIMA(0,2,2)(0,0,1)_12;816.5660776;824.8078496;817.3207946;253.0372552
ARIMA(0,2,1)(1,0,1)_12;816.5692753;824.8110473;817.3239923;253.0164922
ARIMA(2,2,0)(1,0,0)_12;816.7702257;825.0119978;817.5249427;253.520828
ARIMA(2,2,0)(0,0,1)_12;816.7769695;825.0187416;817.5316865;253.5412158
ARIMA(0,2,0)(1,0,0)_12;816.9603391;821.0812251;817.1785209;262.8890433
ARIMA(1,2,0)(1,0,1)_12;816.9756479;825.21742;817.7303649;253.8571694
ARIMA(0,2,0)(0,0,1)_12;817.0247895;821.1456755;817.2429713;263.090983
ARIMA(1,2,2)(1,0,0)_12;818.2317593;828.5339743;819.3856054;250.8677389
ARIMA(2,2,1)(1,0,0)_12;818.2714398;828.5736549;819.425286;252.2957563
ARIMA(2,2,1)(0,0,1)_12;818.2922697;828.5944847;819.4461158;252.3593293
ARIMA(1,2,2)(0,0,1)_12;818.3501918;828.6524069;819.504038;252.5121078
ARIMA(1,2,1)(1,0,1)_12;818.4702752;828.7724902;819.6241213;252.7633704
ARIMA(2,2,2)(0,0,0)_12;818.4969868;828.7992019;819.650833;252.8936043
ARIMA(0,2,2)(1,0,1)_12;818.5135947;828.8158098;819.6674409;252.8845294
ARIMA(0,2,0)(1,0,1)_12;818.65268;824.834009;819.0971244;261.8457682
ARIMA(2,2,0)(1,0,1)_12;818.7308811;829.0330961;819.8847272;253.3948021
ARIMA(1,2,2)(1,0,1)_12;820.1567577;832.5194158;821.8038165;250.7308215
ARIMA(2,2,2)(1,0,0)_12;820.2206165;832.5832746;821.8676753;252.0858897
ARIMA(2,2,2)(0,0,1)_12;820.259175;832.6218331;821.9062338;252.2087398
ARIMA(2,2,2)(1,0,1)_12;822.157018;836.5801191;824.397018;251.8983624
ARIMA(1,1,1)(0,0,0)_12;829.8875013;836.1201136;830.3238649;253.3335479
ARIMA(2,1,0)(0,0,0)_12;830.284007;836.5166193;830.7203706;254.1670464
ARIMA(1,1,1)(1,0,0)_12;831.6248841;839.9350339;832.3656249;252.6696587
ARIMA(1,1,1)(0,0,1)_12;831.6506858;839.9608356;832.3914265;252.746268
ARIMA(1,1,0)(0,0,0)_12;831.8478848;836.0029597;832.0621705;262.0908641
ARIMA(2,1,1)(0,0,0)_12;831.8591283;840.1692781;832.5998691;253.2819666
ARIMA(2,1,0)(1,0,0)_12;831.8594173;840.1695671;832.6001581;253.1009792
ARIMA(1,1,2)(0,0,0)_12;831.8642936;840.1744434;832.6050344;253.2816163
ARIMA(2,1,0)(0,0,1)_12;831.9052296;840.2153794;832.6459703;253.234501
ARIMA(1,1,0)(1,0,0)_12;833.1636267;839.396239;833.5999903;260.3519302
ARIMA(1,1,0)(0,0,1)_12;833.2955259;839.5281382;833.7318895;260.7318702
ARIMA(1,1,1)(1,0,1)_12;833.5493567;843.9370439;834.6814321;252.4165346
ARIMA(2,1,2)(0,0,0)_12;833.5763911;843.9640783;834.7084666;252.5768497
ARIMA(2,1,1)(1,0,0)_12;833.6010244;843.9887116;834.7330999;252.623915
ARIMA(1,1,2)(1,0,0)_12;833.6107787;843.9984659;834.7428541;252.6472787
ARIMA(2,1,1)(0,0,1)_12;833.6267813;844.0144686;834.7588568;252.7036776
ARIMA(1,1,2)(0,0,1)_12;833.6359231;844.0236103;834.7679985;252.7227179
ARIMA(2,1,0)(1,0,1)_12;833.7512328;844.1389201;834.8833083;252.7464196
ARIMA(1,1,0)(1,0,1)_12;834.738721;843.0488708;835.4794618;258.9663089
ARIMA(2,1,2)(0,0,1)_12;835.3160462;847.7812709;836.9314308;251.9513793
ARIMA(2,1,1)(1,0,1)_12;835.525383;847.9906077;837.1407677;252.3764966
ARIMA(1,1,2)(1,0,1)_12;835.5356444;848.0008691;837.151029;252.4080587
ARIMA(2,1,2)(1,0,0)_12;835.6115042;848.0767289;837.2268889;252.6130058
ARIMA(2,1,2)(1,0,1)_12;839.2110861;853.7538482;841.4071645;252.9042753
ARIMA(2,0,1)(1,0,0)_12;848.1063301;860.6723975;849.6912358;257.9990495
ARIMA(2,0,2)(1,0,1)_12;852.7102957;869.4650522;855.5338251;253.6179626
ARIMA(2,0,1)(0,0,0)_12;853.5527;864.0244228;854.6638111;252.7787907
ARIMA(0,1,2)(1,0,0)_12;867.9484508;876.2586006;868.6891915;327.9626223
ARIMA(0,1,2)(1,0,1)_12;869.9434286;880.3311158;871.075504;327.94666
ARIMA(0,1,2)(0,0,1)_12;876.6898323;884.9999821;877.4305731;361.278237
ARIMA(0,1,2)(0,0,0)_12;888.0905546;894.3231669;888.5269182;412.6924236
ARIMA(0,0,2)(0,1,1)_12;888.9113886;896.3961927;889.8416212;1610.817149
ARIMA(2,0,0)(1,0,1)_12;892.1645357;904.7306031;893.7494414;339.8462297
ARIMA(2,0,0)(1,0,0)_12;894.5246304;904.9963533;895.6357416;336.7189107
ARIMA(0,1,1)(1,0,0)_12;897.6507183;903.8833306;898.087082;428.2155926
ARIMA(0,1,1)(0,0,1)_12;907.8606268;914.0932391;908.2969904;481.5627814
ARIMA(1,0,2)(1,0,1)_12;912.2465194;926.9069314;914.4003656;404.4322361
ARIMA(0,0,2)(0,1,0)_12;918.2161071;923.8297101;918.7615616;2668.940442
ARIMA(1,0,1)(1,0,1)_12;918.9765618;931.5426292;920.5614675;428.7440532
ARIMA(0,1,1)(0,0,0)_12;920.8594087;925.0144835;921.0736944;563.1862629
ARIMA(0,0,1)(0,1,1)_12;939.8734978;945.4871009;940.4189524;2882.451441
ARIMA(0,1,0)(0,0,1)_12;942.2937274;946.4488023;942.5080132;568.9698649
ARIMA(1,0,0)(1,0,1)_12;955.5943318;966.0660546;956.7054429;532.7791981
ARIMA(0,0,1)(0,1,0)_12;970.7427841;974.4851861;971.0094508;4910.816085
ARIMA(0,1,0)(0,0,0)_12;974.2568911;976.3344286;974.3270665;908.7986095
ARIMA(0,0,0)(0,1,1)_12;1000.407511;1004.149913;1000.674178;5696.20474
ARIMA(0,0,0)(0,1,0)_12;1030.407341;1032.278542;1030.494298;9721.218122
ARIMA(0,0,2)(1,0,1)_12;1123.130377;1135.696444;1124.715282;1731.874279
ARIMA(0,0,2)(0,0,1)_12;1145.134956;1155.606679;1146.246067;2461.094046
ARIMA(0,0,2)(1,0,0)_12;1149.437517;1159.90924;1150.548628;2826.555462
ARIMA(0,0,2)(0,0,0)_12;1175.434778;1183.812156;1176.162051;3784.222248
ARIMA(0,0,1)(1,0,1)_12;1190.539507;1201.01123;1191.650618;3119.49041
ARIMA(0,0,1)(0,0,1)_12;1212.540761;1220.91814;1213.268034;4511.004678
ARIMA(0,0,1)(1,0,0)_12;1218.416206;1226.793584;1219.143479;5231.212725
ARIMA(0,0,1)(0,0,0)_12;1242.680108;1248.963141;1243.108679;6991.650564
ARIMA(0,0,0)(0,0,1)_12;1288.118825;1294.401859;1288.547397;8833.174699
ARIMA(0,0,0)(1,0,0)_12;1295.818405;1302.101439;1296.246976;10416.88765
ARIMA(0,0,0)(0,0,0)_12;1316.882822;1321.071511;1317.093349;13653.50647
